Shape,STFID,STFID_NUM,NAME,TRACTCE,TTL_POPULATION_ALL,TTL_POPULATION_ALL_MOE,HISPANIC_OR_LATINO,HISPANIC_OR_LATINO_MOE,WHITE,WHITE_MOE,BLACK,BLACK_MOE,NATIVE_AMERICAN,NATIVE_AMERICAN_MOE,ASIAN,ASIAN_MOE,HAWAIIAN_PI,HAWAIIAN_PI_MOE,OTHER_RACE,OTHER_RACE_MOE,TWO_OR_MORE,TWO_OR_MORE_MOE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,MALE_MOE,FEMALE,FEMALE_MOE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_ALL_MOE,MEDIAN_AGE_MALE,MEDIAN_AGE_MALE_MOE,MEDIAN_AGE_FEMALE,MEDIAN_AGE_FEMALE_MOE,TTL_AGE_3_PLUS_ENRSTATUS,TTL_AGE_3_PLUS_ENRSTATUS_MOE,ENROLLED_IN_SCHOOL,ENROLLED_IN_SCHOOL_MOE,NURSERY_OR_PRESCHOOL,NURSERY_OR_PRESCHOOL_MOE,KINDERGARTEN,KINDERGARTEN_MOE,GRADES_1_TO_4,GRADES_1_TO_4_MOE,GRADES_5_TO_8,GRADES_5_TO_8_MOE,GRADES_9_TO_12,GRADES_9_TO_12_MOE,COLLEGE_UNDERGRADUATE,COLLEGE_UNDERGRADUATE_MOE,GRADUATE_SCHOOL,GRADUATE_SCHOOL_MOE,NOT_ENROLLED,NOT_ENROLLED_MOE,TOTAL_COMMUTERS,TOTAL_COMMUTERS_MOE,COMMUTE_LESS_15,COMMUTE_LESS_15_MOE,COMMUTE_15_TO_30,COMMUTE_15_TO_30_MOE,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,TTLPOP_25PLUS_EDU_MOE,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,TTLPOP_5PLUS_LNG_MOE,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,TTL_HOUSING_UNITS_MOE,OCCUPIED_HU,OCCUPIED_HU_MOE,VACANT_HU,VACANT_HU_MOE,OWNER_OCCUPIED_HU,OWNER_OCCUPIED_HU_MOE,RENTER_OCCUPIED_HU,RENTER_OCCUPIED_HU_MOE,TTL_HOUSEHOLDS,TTL_HOUSEHOLDS_MOE,FAMILY_HOUSEHOLDS,FAMILY_HOUSEHOLDS_MOE,MARRIED_COUPLE_FAMILY,MARRIED_COUPLE_FAMILY_MOE,OTHER_FAMILY,OTHER_FAMILY_MOE,MALE_HHLDR_NO_WIFE_PRESENT,MALE_HHLDR_NO_WIFE_PRE_MOE,FEMALE_HHLDR_NO_HSBND_PRESENT,FEMALE_HHLDR_NO_HSBND_PRE_MOE,NONFAMILY_HOUSEHOLD,NONFAMILY_HOUSEHOLD_MOE,HOUSEHOLDER_ALONE,HOUSEHOLDER_ALONE_MOE,HOUSEHOLDER_NOT_ALONE,HOUSEHOLDER_NOT_ALONE_MOE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_HH_INCOME_MOE,MED_FAMILY_INCOME,MED_FAMILY_INCOME_MOE,PER_CAPITA_INCOME,PER_CAPITA_INCOME_MOE,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARNINGS_MOE,MEDIAN_EARN_MALE,MEDIAN_EARN_MALE_MOE,MEDIAN_EARN_FEMALE,MEDIAN_EARN_FEMALE_MOE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,MED_YR_STRUCTURE_BUILT_MOE,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MED_GROSS_RENT_MOE,MEDIAN_HOME_VALUE,MEDIAN_HOME_VALUE_MOE,NATIVE,FOREIGN_BORN_FB,FOREIGN_BORN_FB_MOE,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
<geoprocessing describe geometry object object at 0x03D52200>,08031008391,8031008391.0,83.91,008391,7056,962,3184,733,1398,403,1927,648,54,54,339,333,0,18,34,42,120,97,45.12471655,19.81292517,27.3100907,0.76530612,4.80442177,0.0,0.48185941,1.70068027,3512,638,3544,519,414,595,636,282,1009,1031,1127,1228,547,1189,576,119,230,1927,811,27.3100907,11.49376417,33.0,4.0,32.0,5.6,34.9,6.9,6748,971,2144,551,115,100,57,67,557,234,475,232,389,238,537,299,14,18,4604,597,3462,625,418,327,1422,729,979,440,203,4443,462,547,1319,1719,858,6642,972,3948,2087,2445,304,2388,298,57,82,1886,345,502,225,2388,298,1747,327,1349,333,398,183,69,76,329,166,641,201,424,168,217,147,36,26,60,0,19,222,58,139,139,255,148,546,425,64,201,50,80090,12218,80233,14317,28011,3159,82670,84986,43443,7601,48188,5200,36027,6806,26279,42778,35435,44923,75085,1999,3,0,56,1079,752,524,9,0,25,0,0,1786,2138,123,346500,12839,5613,1443,407,50,5,6,0,39,242,0,0,156,86,167,8,0,0,159,0,984,984,147,837,0,0,4.5,1.4882656
<geoprocessing describe geometry object object at 0x03D52200>,08031007091,8031007091.0,70.91,007091,3457,381,219,112,3020,397,171,105,0,13,0,13,0,13,0,13,47,47,6.33497252,87.35898178,4.94648539,0.0,0.0,0.0,0.0,1.35956031,1355,286,2102,240,0,0,0,0,0,0,42,45,81,246,782,1427,834,0,4093,0.0,118.3974544,73.0,1.9,72.0,3.6,73.6,1.4,3457,381,14,23,0,13,0,13,0,13,0,13,14,23,0,13,0,13,3443,382,774,211,118,133,261,210,336,30,29,3457,381,74,749,883,1751,3457,381,3091,138,2904,237,2689,213,215,162,2188,219,501,168,2689,213,559,159,509,155,50,52,0,13,50,52,2130,209,1937,170,193,136,282,251,187,152,267,264,161,52,48,140,244,383,73,93,59,33,33216,5255,66696,28320,38663,5420,49837,77462,30566,11431,41029,21765,21607,13605,0,0,0,45081,0,1966,1,0,0,58,170,25,555,1555,494,15,32,1136,1161,60,210300,10087,3257,200,107,200,13,60,15,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,15.56350626
<geoprocessing describe geometry object object at 0x03D5FB40>,08031008387,8031008387.0,83.87,008387,7115,958,4287,900,690,241,1690,588,0,18,293,258,0,18,24,46,131,115,60.25298665,9.6978215,23.75263528,0.0,4.11806044,0.0,0.33731553,1.8411806,3850,442,3265,622,343,440,724,387,783,1315,943,889,1583,614,511,340,137,1894,868,26.61981729,12.19957836,35.3,5.0,35.6,6.0,34.6,5.6,6792,939,1889,389,17,24,75,76,429,191,576,233,477,185,273,124,42,47,4903,669,3412,560,590,270,1356,587,953,217,296,4520,653,1152,1484,1264,620,6772,942,2708,3705,1782,195,1749,198,33,41,1412,153,337,200,1749,198,1423,240,1073,233,350,160,149,90,201,121,326,132,197,106,129,70,97,18,1,8,47,17,26,7,7,197,134,332,393,133,247,85,99667,8561,99829,9674,27593,2998,105650,105215,42775,7693,48018,8422,37940,7700,36953,49194,38790,36250,55795,1990,3,0,0,245,663,667,195,12,0,0,0,1690,1813,246,312100,26126,4888,2227,591,53,0,53,0,0,265,0,0,265,0,55,11,0,0,17,0,1854,1854,42,1812,0,0,7.9,8.78425861
<geoprocessing describe geometry object object at 0x03D5F6C0>,08031003601,8031003601.0,36.01,003601,4498,629,2104,430,1784,343,467,241,8,14,3,7,0,13,0,13,132,79,46.77634504,39.66207203,10.38239217,0.17785682,0.06669631,0.0,0.0,2.93463762,2434,470,2064,271,335,299,189,101,634,501,855,1068,650,343,318,101,28,924,312,20.54246332,6.93641618,31.0,2.8,29.3,2.7,33.8,3.4,4300,625,1026,268,77,78,99,64,252,99,107,78,223,129,198,170,70,47,3274,450,2199,367,764,281,578,249,597,123,137,3075,366,527,552,725,1271,4163,612,2704,1381,1789,140,1702,150,87,59,835,117,867,163,1702,150,894,142,512,106,382,119,51,43,331,113,808,130,445,98,363,111,112,120,64,68,12,69,94,52,18,157,65,162,178,195,168,168,77500,24752,68857,49171,37709,4923,93606,98734,46891,8071,52530,6109,43221,5748,30385,34663,44602,59682,74107,0,0,0,49,49,47,132,36,46,104,79,1247,1254,1352,179,455800,28841,4029,469,172,23,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,446,446,0,435,11,0,15.0,13.31096197
<geoprocessing describe geometry object object at 0x03D5F6C0>,08031005502,8031005502.0,55.02,005502,2068,286,678,151,1136,233,143,113,0,13,72,52,0,13,0,13,39,39,32.78529981,54.93230174,6.91489362,0.0,3.48162476,0.0,0.0,1.88588008,1012,248,1056,159,120,234,130,44,354,211,264,326,260,236,280,88,49,528,331,25.53191489,16.00580271,35.8,4.5,40.2,9.1,32.1,5.8,2024,284,592,140,41,31,113,67,201,99,61,58,57,41,81,34,38,23,1432,237,694,118,131,90,316,153,163,79,5,1400,237,236,463,424,277,1948,282,1638,254,568,70,543,62,25,32,285,71,258,55,543,62,396,54,203,54,193,47,88,40,105,43,147,55,93,33,54,42,39,0,11,4,14,11,19,31,16,51,34,112,82,61,43,15,89625,14082,67727,24066,25914,4684,91376,86702,46500,6894,50000,10182,42750,10129,49821,41121,48056,44315,68333,1979,4,18,0,21,185,35,203,106,0,0,0,1433,1718,55,436600,52745,1919,149,67,30,0,7,0,23,32,17,0,15,0,17,0,0,0,16,0,70,49,0,48,1,21,15.1,5.80808081
<geoprocessing describe geometry object object at 0x03D52D00>,08031000403,8031000403.0,4.03,000403,3680,581,872,582,2679,384,0,13,0,13,23,25,0,13,12,23,94,81,23.69565217,72.79891304,0.0,0.0,0.625,0.0,0.32608696,2.55434783,1831,342,1849,351,181,112,181,95,293,331,877,730,661,278,232,98,180,569,441,15.46195652,11.98369565,33.4,1.5,32.9,1.1,34.5,5.8,3558,561,585,237,48,52,20,25,69,71,145,89,150,103,81,109,72,54,2973,461,1625,395,371,224,760,413,401,77,16,2870,466,250,174,472,1974,3499,552,2910,531,1887,294,1834,289,53,88,813,135,1021,287,1834,289,706,163,547,186,159,105,117,90,42,44,1128,292,814,285,314,116,50,10,14,98,69,31,0,14,78,224,103,192,135,279,167,370,107708,28597,180938,26480,75470,13087,150801,237878,62656,19230,63897,25356,60625,28484,0,0,31497,78831,100625,1948,17,0,403,76,87,98,88,37,138,106,854,1904,2004,341,630700,52566,3433,247,330,19,0,0,9,10,13,13,0,0,0,0,0,0,0,0,0,215,215,0,215,0,0,3.5,1.4164306
<geoprocessing describe geometry object object at 0x03D5FB80>,08031004111,8031004111.0,41.11,004111,6620,749,544,275,4281,688,805,501,0,18,664,356,32,59,43,84,251,259,8.21752266,64.66767372,12.16012085,0.0,10.03021148,0.48338369,0.64954683,3.79154079,3445,461,3175,380,883,665,461,279,1548,784,442,1549,1313,590,361,33,0,2288,309,34.56193353,4.66767372,35.3,1.4,31.6,2.9,36.3,1.4,6201,702,1991,483,386,188,93,63,570,186,356,150,315,160,118,108,153,93,4210,444,2974,405,426,285,1412,635,945,111,80,4223,410,0,268,757,3198,5737,580,4366,227,2389,173,2310,196,79,90,1769,224,541,211,2310,196,1598,213,1342,210,256,123,96,78,160,108,712,208,602,222,110,86,0,0,0,0,0,41,60,28,100,119,74,94,379,138,407,870,158810,19570,169910,28935,67746,10665,193754,213775,97564,9054,109130,6532,64342,20955,0,52620,0,95364,117690,2014,2,47,2012,268,17,13,0,0,32,0,0,1466,1530,245,658700,47758,5610,1010,424,118,40,0,0,78,451,282,0,169,0,359,359,0,0,0,0,82,72,16,56,0,10,0.7,0.0
<geoprocessing describe geometry object object at 0x0E831EE0>,08031006902,8031006902.0,69.02,006902,3226,506,229,137,2481,406,162,117,35,54,45,46,0,13,6,14,268,268,7.09857409,76.90638562,5.0216987,1.0849349,1.3949163,0.0,0.18598884,8.30750155,1367,257,1859,393,221,229,46,0,450,95,728,514,256,317,536,106,224,496,659,15.3750775,20.42777433,35.0,7.0,30.5,3.3,43.8,18.5,3123,503,503,175,38,60,34,54,195,84,34,41,12,19,142,88,48,47,2620,452,1630,253,289,254,691,374,420,149,81,2327,466,142,476,890,819,3005,474,2570,234,1617,166,1558,183,59,75,319,106,1239,190,1558,183,602,166,286,98,316,157,74,61,242,139,956,147,754,157,202,99,185,40,60,34,64,27,92,194,0,162,153,174,232,45,75,21,56029,7803,89563,25942,35248,6177,69961,87046,42991,6999,53454,4042,31136,13181,0,34063,27115,52244,78030,1973,2,0,0,16,122,140,717,438,115,62,7,1156,1183,45,424300,69830,3016,210,143,80,14,0,12,54,43,0,4,0,39,0,0,0,0,0,0,87,46,0,46,0,41,19.3,20.09966777
<geoprocessing describe geometry object object at 0x03D52620>,08031004112,8031004112.0,41.12,004112,6223,671,431,180,4390,688,608,269,29,38,312,136,0,18,0,18,453,313,6.92591997,70.54475333,9.7702073,0.46601318,5.01365901,0.0,0.0,7.27944721,3236,456,2987,318,317,363,710,233,680,964,665,1128,1267,544,430,394,151,1623,1045,26.08066849,16.79254379,37.0,3.3,34.1,5.3,37.9,4.5,5946,673,1571,383,32,30,33,39,371,154,652,233,280,118,106,70,97,57,4375,414,2692,386,358,266,1241,543,732,346,15,4427,413,14,316,827,3270,5906,673,5217,250,2973,307,2778,239,195,187,1388,227,1390,221,2778,239,1490,229,1219,258,271,120,144,75,127,89,1288,253,1038,232,250,106,123,61,73,60,74,10,12,82,103,251,169,278,303,285,286,608,105357,19131,167253,18480,66695,8451,149125,218303,68373,6866,82569,17166,54652,6616,0,68243,46316,53575,96081,2007,1,18,1039,1532,137,22,69,0,0,0,156,1824,1898,155,572600,55841,5647,576,207,101,30,31,0,40,220,183,0,37,0,132,82,0,50,0,0,123,123,11,86,26,0,5.3,1.20805369
<geoprocessing describe geometry object object at 0x03D52620>,08031003202,8031003202.0,32.02,003202,3432,356,208,98,2806,315,169,148,16,19,51,46,0,13,9,14,173,144,6.06060606,81.75990676,4.92424242,0.46620047,1.48601399,0.0,0.26223776,5.04079254,1822,315,1610,192,0,53,55,34,53,103,789,816,392,405,398,378,98,142,1024,4.13752914,29.83682984,39.3,6.5,40.6,8.6,37.7,5.6,3432,356,317,98,0,13,0,13,53,51,37,40,52,42,65,55,110,71,3115,348,2237,285,492,249,1105,413,331,233,76,3126,329,29,235,714,2148,3432,356,3301,77,2332,241,2178,212,154,131,612,138,1566,231,2178,212,543,127,450,127,93,69,0,13,93,69,1635,230,1224,175,411,152,130,36,136,65,78,42,75,91,66,203,294,193,163,271,170,165,68345,9736,120521,26548,64847,8866,100916,164165,51708,8859,52917,11332,51203,10407,0,48796,31250,51406,61613,1965,2,0,253,14,91,132,333,753,134,16,606,1484,1559,150,416700,172801,3278,154,105,17,0,14,0,3,49,20,29,0,0,0,0,0,0,0,25,63,12,0,12,0,51,6.9,0.0
